MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
94,1,The International 11,Team Spirit,radiant,10,LOSE,38:51,Terrorblade,Beastmaster,Witch Doctor,Invoker,Nyx Assassin
94,1,The International 11,Talon Esports,dire,31,WIN,38:51,Templar Assassin,Visage,Tiny,Doom,Undying
94,2,The International 11,Team Spirit,dire,28,WIN,44:48,Gyrocopter,Mars,Vengeful Spirit,Shadow Fiend,Undying
94,2,The International 11,Talon Esports,radiant,24,LOSE,44:48,Queen of Pain,Tusk,Drow Ranger,Enigma,Marci
95,1,DPC 2022 Summer Tour - Western Europe Division 1,Alliance,radiant,7,LOSE,33:46,Phantom Lancer,Timbersaw,Death Prophet,Clockwerk,Keeper of the Light
95,1,DPC 2022 Summer Tour - Western Europe Division 1,Gaimin Gladiators,dire,33,WIN,33:46,Storm Spirit,Lycan,Chaos Knight,Enchantress,Marci
95,2,DPC 2022 Summer Tour - Western Europe Division 1,Alliance,radiant,21,LOSE,37:26,Lifestealer,Skywrath Mage,Centaur Warrunner,Kunkka,Grimstroke
95,2,DPC 2022 Summer Tour - Western Europe Division 1,Gaimin Gladiators,dire,30,WIN,37:26,Legion Commander,Alchemist,Tusk,Puck,Enchantress
96,1,Riyadh Masters 2022,Team Spirit,dire,35,WIN,24:16,Templar Assassin,Centaur Warrunner,Grimstroke,Dragon Knight,Phoenix
96,1,Riyadh Masters 2022,Deboosters,radiant,5,LOSE,24:16,Tusk,Keeper of the Light,Faceless Void,Ember Spirit,Dawnbreaker
96,2,Riyadh Masters 2022,Team Spirit,radiant,48,WIN,39:47,Death Prophet,Kunkka,Warlock,Pudge,Marci
96,2,Riyadh Masters 2022,Deboosters,dire,31,LOSE,39:47,Elder Titan,Monkey King,Grimstroke,Tiny,Dark Willow
97,1,ESL One Malaysia 2022,Talon Esports,radiant,10,LOSE,31:59,Sniper,Brewmaster,Earth Spirit,Storm Spirit,Io
97,1,ESL One Malaysia 2022,Team Aster,dire,33,WIN,31:59,Bristleback,Viper,Grimstroke,Puck,Tiny
97,2,ESL One Malaysia 2022,Talon Esports,radiant,12,LOSE,33:07,Alchemist,Snapfire,Void Spirit,Faceless Void,Dawnbreaker
97,2,ESL One Malaysia 2022,Team Aster,dire,28,WIN,33:07,Bloodseeker,Enigma,Dazzle,Razor,Tiny
98,1,PGL Dota 2 Major Arlington 2022,Evil Geniuses,dire,9,LOSE,36:55,Juggernaut,Enchantress,Dragon Knight,Tusk,Razor
98,1,PGL Dota 2 Major Arlington 2022,Team Aster,radiant,27,WIN,36:55,Timbersaw,Terrorblade,Puck,Dazzle,Tiny
98,2,PGL Dota 2 Major Arlington 2022,Evil Geniuses,radiant,25,LOSE,42:04,Lycan,Batrider,Tusk,Nature's Prophet,Winter Wyvern
98,2,PGL Dota 2 Major Arlington 2022,Team Aster,dire,42,WIN,42:04,Spectre,Earth Spirit,Dark Seer,Dazzle,Razor
99,1,DPC 2022 Summer Tour - Western Europe Division 1,Alliance,dire,17,LOSE,41:15,Dragon Knight,Templar Assassin,Clockwerk,Leshrac,Keeper of the Light
99,1,DPC 2022 Summer Tour - Western Europe Division 1,Team Secret,radiant,25,WIN,41:15,Razor,Grimstroke,Vengeful Spirit,Invoker,Doom
99,2,DPC 2022 Summer Tour - Western Europe Division 1,Alliance,dire,17,LOSE,31:32,Keeper of the Light,Zeus,Wraith King,Night Stalker,Clockwerk
99,2,DPC 2022 Summer Tour - Western Europe Division 1,Team Secret,radiant,19,WIN,31:32,Visage,Bristleback,Winter Wyvern,Vengeful Spirit,Doom
100,1,Riyadh Masters 2022,PSG.LGD,radiant,28,WIN,34:39,Brewmaster,Lone Druid,Enchantress,Pangolier,Winter Wyvern
100,1,Riyadh Masters 2022,Team Spirit,dire,18,LOSE,34:39,Luna,Skywrath Mage,Ember Spirit,Viper,Marci
100,2,Riyadh Masters 2022,PSG.LGD,dire,30,WIN,30:24,Alchemist,Dazzle,Pangolier,Nature's Prophet,Tiny
100,2,Riyadh Masters 2022,Team Spirit,radiant,13,LOSE,30:24,Sven,Ember Spirit,Jakiro,Viper,Marci
101,1,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,37,WIN,43:58,Phantom Lancer,Earth Spirit,Venomancer,Ancient Apparition,Mars
101,1,DPC 2022 Spring Tour - South America Division 1,Lava Esports,radiant,25,LOSE,43:58,Legion Commander,Terrorblade,Phoenix,Tiny,Death Prophet
101,2,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,40,WIN,31:07,Terrorblade,Sand King,Mirana,Lina,Shadow Demon
101,2,DPC 2022 Spring Tour - South America Division 1,Lava Esports,radiant,17,LOSE,31:07,Axe,Medusa,Clockwerk,Shadow Shaman,Queen of Pain
102,1,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,4,LOSE,27:34,Luna,Earthshaker,Ancient Apparition,Lina,Sand King
102,1,DPC 2022 Spring Tour - South America Division 1,Hokori,radiant,35,WIN,27:34,Brewmaster,Mirana,Kunkka,Tiny,Death Prophet
102,2,DPC 2022 Spring Tour - South America Division 1,beastcoast,radiant,36,WIN,36:04,Shadow Fiend,Chaos Knight,Rubick,Timbersaw,Shadow Demon
102,2,DPC 2022 Spring Tour - South America Division 1,Hokori,dire,25,LOSE,36:04,Storm Spirit,Medusa,Witch Doctor,Shadow Shaman,Brewmaster
102,3,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,23,WIN,38:06,Sven,Rubick,Underlord,Storm Spirit,Shadow Demon
102,3,DPC 2022 Spring Tour - South America Division 1,Hokori,radiant,28,LOSE,38:06,Queen of Pain,Disruptor,Chaos Knight,Snapfire,Mars
103,1,DPC 2022 Winter Tour - Eastern Europe Finals,PuckChamp,dire,12,LOSE,25:19,Leshrac,Rubick,Axe,Razor,Bane
103,1,DPC 2022 Winter Tour - Eastern Europe Finals,Virtus.pro,radiant,24,WIN,25:19,Pugna,Lycan,Grimstroke,Shadow Shaman,Kunkka
103,2,DPC 2022 Winter Tour - Eastern Europe Finals,PuckChamp,radiant,20,LOSE,41:08,Tidehunter,Invoker,Enchantress,Razor,Weaver
103,2,DPC 2022 Winter Tour - Eastern Europe Finals,Virtus.pro,dire,26,WIN,41:08,Chaos Knight,Leshrac,Shadow Shaman,Beastmaster,Io
104,1,ESL One Stockholm 2022,Fnatic,radiant,22,WIN,32:58,Magnus,Wraith King,Death Prophet,Treant Protector,Shadow Shaman
104,1,ESL One Stockholm 2022,Team Liquid,dire,9,LOSE,32:58,Troll Warlord,Visage,Doom,Tiny,Grimstroke
104,2,ESL One Stockholm 2022,Fnatic,radiant,9,LOSE,47:52,Pangolier,Magnus,Terrorblade,Abaddon,Shadow Shaman
